# OpenSignals Text File Format
# {"98:D3:31:B2:BC:63":{"sensor":["RAW","RAW","RAW","RAW","RAW","RAW"],"device name":"98:D3:31:B2:BC:63","column":["nSeq","I1","I2","O1","O2","A1","A2","A3","A4","A5","A6"],"sync interval":2,"time":"12:51:37","comments":"","device connection":"BTH98:D3:31:B2:BC:63","channels":[1,2,3,4,5,6],"date":"2020-02-14","mode":0,"digital IO":[0,0,1,1],"firmware version":"0","device":"bitalino","position":0,"sampling rate":1000,"label":["A1","A2","A3","A4","A5","A6"],"resolution":[10,10,10,10,6,6],"special":[{},{},{},{},{},{}]}}
# EndOfHeader
0	1	1	1	1	24	24	480	300	1	35
1	1	1	1	1	27	24	480	300	1	35
2	1	1	1	1	27	24	480	300	1	35
3	1	1	1	1	25	25	481	300	1	35
4	1	1	1	1	35	31	481	300	1	35
5	1	1	1	1	31	25	483	300	1	35
6	1	1	1	1	35	31	483	300	1	35
7	1	1	1	1	31	25	483	300	1	35
8	1	1	1	1	31	28	483	300	1	35
9	1	1	1	1	25	24	483	300	1	35
10	1	1	1	1	24	24	483	300	1	35
11	1	1	1	1	28	24	483	300	1	35
12	1	1	1	1	28	24	483	300	1	35
13	1	1	1	1	28	24	486	300	1	35
14	1	1	1	1	24	24	486	300	1	35
15	1	1	1	1	28	24	486	300	1	35
0	1	1	1	1	28	24	486	300	1	35
1	1	1	1	1	24	24	487	300	1	35
2	1	1	1	1	28	24	487	300	1	35
3	1	1	1	1	28	24	487	300	1	35
4	1	1	1	1	28	24	487	300	1	35
5	1	1	1	1	28	24	487	300	1	35
6	1	1	1	1	24	24	487	300	1	35
7	1	1	1	1	35	31	487	300	1	35
8	1	1	1	1	28	24	487	300	1	35
9	1	1	1	1	24	24	487	300	1	35
10	1	1	1	1	28	24	487	300	1	35
11	1	1	1	1	35	31	487	300	1	35
12	1	1	1	1	28	24	487	300	1	35
13	1	1	1	1	28	24	487	300	1	35
14	1	1	1	1	35	31	489	300	1	35
15	1	1	1	1	28	24	492	300	1	35
0	1	1	1	1	28	24	492	300	1	35
1	1	1	1	1	28	24	494	300	1	35
2	1	1	1	1	28	24	496	300	1	35
3	1	1	1	1	24	25	497	300	1	35
4	1	1	1	1	28	24	499	300	1	35
5	1	1	1	1	28	24	500	300	1	35
6	1	1	1	1	31	28	504	300	1	35
7	1	1	1	1	28	24	504	300	1	35
8	1	1	1	1	31	28	504	300	1	35
9	1	1	1	1	31	28	504	300	1	35
10	1	1	1	1	28	24	504	300	1	35
11	1	1	1	1	28	24	499	300	1	35
