# JSON Text File Format
# {"SamplingResolution": "10", "SampledChannels": [1, 2, 3], "SamplingFrequency": "100", "ColumnLabels": ["signals/others/SeqN", "signals/others/Ind", "signals/AnalogInputs/Analog3/Signal3"], "AcquiringDevice": "98:D3:31:B2:BC:63", "Version": "111", "StartDateTime": "14 feb 2020 12:37:53"}
# EndOfHeader
0	495	
1	487	
2	492	
3	487	
4	495	
5	491	
6	499	
7	496	
8	499	
9	497	
10	504	
11	499	
12	505	
13	500	
14	504	
15	499	
0	505	
1	504	
2	508	
3	504	
4	508	
5	504	
6	510	
7	505	
8	511	
9	505	
10	511	
11	505	
12	511	
13	508	
14	513	
15	511	
0	523	
1	518	
2	527	
3	529	
4	542	
5	530	
6	524	
7	504	
8	509	
9	504	
10	510	
11	504	
12	508	
13	501	
14	492	
15	561	
0	785	
1	863	
2	654	
3	487	
4	543	
5	536	
6	519	
7	511	
8	515	
9	510	
10	518	
11	515	
12	526	
13	523	
14	535	
15	537	
0	551	
1	558	
2	575	
3	579	
4	591	
5	590	
6	590	
7	572	
8	556	
9	529	
10	515	
11	499	
12	496	
13	487	
14	489	
15	483	
0	489	
1	487	
2	494	
3	492	
4	497	
5	495	
6	501	
7	498	
8	504	
9	499	
10	504	
11	499	
12	504	
13	499	
14	504	
15	499	
0	504	
1	497	
2	505	
3	499	
4	504	
5	501	
6	505	
7	499	
8	506	
9	502	
10	507	
11	502	
12	510	
13	512	
14	518	
15	518	
0	532	
1	534	
2	534	
3	516	
4	508	
5	505	
6	512	
7	508	
8	511	
9	505	
10	504	
11	494	
12	611	
13	816	
14	840	
15	591	
0	507	
1	555	
2	537	
3	515	
4	520	
5	513	
6	521	
7	516	
8	524	
9	523	
10	536	
11	536	
12	550	
13	553	
14	572	
15	575	
0	591	
1	591	
2	600	
3	588	
4	575	
5	548	
6	535	
7	513	
8	508	
9	497	
10	499	
11	492	
12	496	
13	491	
14	497	
15	494	
0	504	
1	498	
2	505	
3	504	
4	510	
5	507	
6	512	
7	507	
8	515	
9	508	
10	512	
11	505	
12	512	
13	508	
14	512	
15	510	
0	516	
1	511	
2	513	
3	508	
4	515	
5	508	
6	519	
7	516	
8	521	
9	523	
10	531	
11	529	
12	534	
13	515	
14	508	
15	507	
0	512	
1	508	
2	511	
3	507	
4	504	
5	497	
6	619	
7	807	
8	824	
9	571	
10	510	
11	550	
12	536	
13	521	
14	523	
15	516	
0	524	
1	521	
2	529	
3	527	
4	540	
5	541	
6	555	
7	557	
8	575	
9	580	
10	595	
11	598	
12	603	
13	588	
14	575	
15	547	
0	536	
1	514	
2	511	
3	499	
4	502	
5	495	
6	499	
7	494	
8	499	
9	497	
10	504	
11	497	
12	504	
13	500	
14	508	
15	502	
0	508	
1	504	
2	510	
3	506	
4	511	
5	508	
6	511	
7	504	
8	507	
9	499	
10	507	
11	500	
12	507	
13	503	
14	510	
15	508	
0	514	
1	519	
2	527	
3	524	
4	537	
5	533	
6	542	
7	527	
8	515	
9	504	
10	511	
11	504	
12	510	
13	504	
14	509	
15	487	
0	527	
1	707	
2	870	
3	734	
4	511	
5	521	
6	547	
7	519	
8	519	
9	511	
10	518	
11	512	
12	521	
13	518	
14	527	
15	527	
0	540	
1	543	
2	560	
3	567	
4	583	
5	586	
6	598	
7	590	
8	583	
9	556	
10	540	
11	516	
12	505	
13	492	
14	492	
15	483	
0	487	
1	483	
2	489	
3	484	
4	492	
5	489	
6	496	
7	492	
8	499	
9	493	
10	500	
11	496	
12	502	
13	497	
14	504	
15	499	
0	504	
1	499	
2	504	
3	499	
4	507	
5	500	
6	508	
7	504	
8	509	
9	505	
10	513	
11	508	
12	515	
13	508	
14	521	
15	514	
0	523	
1	524	
2	531	
3	528	
4	524	
5	503	
6	505	
7	502	
8	507	
9	500	
10	505	
11	499	
12	487	
13	510	
14	692	
15	861	
0	759	
1	512	
2	512	
3	537	
4	519	
5	504	
6	509	
7	504	
8	514	
9	512	
10	523	
11	519	
12	532	
13	532	
14	546	
15	550	
0	568	
1	572	
2	586	
3	587	
4	591	
5	574	
6	560	
7	531	
8	519	
9	497	
10	495	
11	485	
12	487	
13	483	
14	488	
15	484	
0	492	
1	487	
2	496	
3	489	
4	496	
5	492	
6	499	
7	495	
8	501	
9	495	
10	500	
11	496	
12	501	
13	496	
14	503	
15	496	
0	504	
1	499	
2	504	
3	499	
4	504	
5	497	
6	504	
7	499	
8	504	
9	499	
10	505	
11	502	
12	508	
13	504	
14	518	
15	511	
0	524	
1	524	
2	536	
3	526	
4	519	
5	500	
6	504	
7	499	
8	504	
9	500	
10	504	
11	496	
12	484	
13	536	
14	753	
15	865	
0	694	
1	490	
2	530	
3	533	
4	512	
5	504	
6	508	
7	502	
8	511	
9	508	
10	516	
11	515	
12	527	
13	527	
14	543	
15	548	
0	566	
1	572	
2	585	
3	584	
4	588	
5	569	
6	553	
7	524	
8	511	
9	491	
10	487	
11	476	
12	480	
13	475	
14	480	
15	478	
0	484	
1	480	
2	487	
3	483	
4	491	
5	487	
6	495	
7	487	
8	497	
9	491	
10	496	
11	491	
12	497	
13	491	
14	499	
15	492	
0	496	
1	492	
2	499	
3	492	
4	502	
5	495	
6	501	
7	497	
8	502	
9	496	
10	503	
11	496	
12	503	
13	498	
14	505	
15	499	
0	510	
1	508	
2	513	
3	515	
4	526	
5	525	
6	524	
7	505	
8	499	
9	496	
10	502	
11	496	
12	500	
13	496	
14	494	
15	480	
0	596	
1	813	
2	839	
3	601	
4	487	
5	538	
6	525	
7	503	
8	509	
9	502	
10	510	
11	507	
12	515	
13	512	
14	521	
15	523	
0	534	
1	540	
2	557	
3	561	
4	579	
5	582	
6	590	
7	579	
8	571	
9	543	
10	527	
11	503	
12	496	
13	483	
14	483	
15	476	
0	481	
1	476	
2	483	
3	477	
4	483	
5	479	
6	487	
7	483	
8	492	
9	487	
10	495	
11	492	
12	499	
13	494	
14	502	
15	496	
0	500	
1	495	
2	499	
3	495	
4	502	
5	494	
6	499	
7	492	
8	499	
9	493	
10	499	
11	495	
12	500	
13	496	
14	504	
15	497	
0	504	
1	497	
2	504	
3	499	
4	511	
5	507	
6	516	
7	515	
8	527	
9	523	
10	519	
11	500	
12	499	
13	496	
14	503	
15	496	
0	504	
1	498	
2	487	
3	496	
4	663	
5	849	
6	782	
7	531	
8	500	
9	537	
10	515	
11	500	
12	505	
13	499	
14	507	
15	504	
0	512	
1	511	
2	523	
3	521	
4	537	
5	542	
6	560	
7	568	
8	585	
9	583	
10	591	
11	577	
12	563	
13	533	
14	519	
15	496	
0	492	
1	479	
2	481	
3	475	
4	480	
5	475	
6	481	
7	478	
8	487	
9	483	
10	489	
11	484	
12	492	
13	487	
14	496	
15	488	
0	495	
1	492	
2	496	
3	489	
4	496	
5	489	
6	498	
7	492	
8	497	
9	493	
10	497	
11	492	
12	497	
13	492	
14	500	
15	494	
0	500	
1	495	
2	502	
3	496	
4	502	
5	496	
6	502	
7	498	
8	504	
9	504	
10	510	
11	511	
12	521	
13	521	
14	527	
15	511	
0	505	
1	495	
2	504	
3	497	
4	504	
5	496	
