0.138855	0.198364	0.129089	71.2495	
0.145874	0.209045	0.142822	71.2495	
0.14801	0.212402	0.138397	73.4395	
0.144653	0.207214	0.140533	78.8792	
0.18219	0.264282	0.14328	94.9669	
0.13092	0.186157	0.144653	104.369	
0.0964355	0.133667	0.150757	113.774	
0.12146	0.171814	0.150604	123.176	
0.0997925	0.138855	0.160065	132.578	
0.104065	0.145264	0.160522	141.98	
0.143433	0.205383	0.158844	151.382	
0.103149	0.143738	0.163574	160.784	
-0.0262451	-0.0531006	0.166016	170.19	
-0.0222778	-0.0332642	0.171967	177.827	
0.129089	0.153198	0.180054	182.81	
0.180359	0.216675	0.18692	186.221	
0.134888	0.160522	0.192108	188.664	
0.487976	0.596619	0.19577	190.531	
-0.362549	-0.453796	0.205383	191.402	
0.28656	0.3479	0.217285	190.714	
4.43207	5.46875	0.233917	189.661	
3.22479	3.97736	0.251007	184.411	
-0.362244	-0.453186	0.266418	175.342	
-0.362244	-0.453186	0.266418	175.342	
-0.185547	-0.234985	0.286255	169.39	
-0.196533	-0.248718	0.304871	165.277	
-0.433044	-0.673523	0.324402	163.325	
-0.370178	-0.577698	0.349731	163.438	
-0.543518	-0.84198	0.378723	170.274	
-0.570374	-0.882874	0.405121	174.556	
-0.674744	-1.04218	0.426483	176.381	
-1.08337	-1.66534	0.453491	176.928	
-1.38397	-2.12372	0.482483	175.426	
-1.53992	-2.36145	0.509949	173.461	
-1.45111	-2.22595	0.536804	172.576	
-0.935364	-1.43951	0.565186	171.706	
-0.394897	-0.594177	0.596924	169.516	
-0.0579834	0.00366211	0.627289	166.442	
0.134583	0.731506	0.654602	161.613	
0.135803	1.34277	0.694733	155.913	
0.0991821	1.60645	0.724945	151.519	
0.0860596	1.70471	0.755615	148.305	
0.0598145	1.17706	0.785217	146.171	
0.0628662	0.387573	0.816956	142.409	
0.0289917	0.0308228	0.856781	139.531	
0.0500488	0.0628662	0.887909	133.972	
0.109558	0.153503	0.932922	128.707	
0.140686	0.201111	0.966339	124.763	
0.158386	0.227966	1.00357	121.688	
0.116272	0.163879	1.04492	116.873	
0.117798	0.166321	1.08368	111.595	
0.180054	0.26123	1.12564	108.085	
0.180054	0.26123	1.16165	104.576	
0.174255	0.25238	1.19705	100.196	
0.184631	0.26825	1.24008	96.2514	
0.177612	0.257263	1.27884	90.9871	
0.178833	0.259399	1.32156	80.8937	
0.164185	0.236816	1.36429	76.4998	
0.157471	0.226746	1.40076	72.9903	
0.123901	0.183411	1.44226	71.0776	
0.13092	0.194092	1.48163	71.0776	
0.133057	0.197449	1.52191	73.2675	
0.1297	0.192261	1.56708	78.7073	
0.167236	0.249329	1.60797	94.7949	
0.115967	0.171204	1.64963	104.197	
0.0814819	0.118713	1.68808	113.602	
0.106506	0.15686	1.73019	123.004	
0.0848389	0.123901	1.77231	132.406	
0.0891113	0.13031	1.81244	141.808	
0.128479	0.19043	1.85318	151.21	
0.0881958	0.128784	1.8959	160.612	
-0.0411987	-0.0680542	1.93314	170.018	
-0.0372314	-0.0482178	1.96838	177.655	
0.114136	0.138245	2.005	182.638	
0.165405	0.201721	2.01553	186.049	
0.119934	0.145569	1.99219	188.492	
0.473022	0.581665	2.00317	190.359	
-0.377502	-0.46875	2.00806	191.23	
0.271606	0.332947	1.97128	190.542	
4.41711	5.4538	1.93558	189.489	
3.20984	3.9624	1.85669	184.239	
3.20984	3.9624	1.85669	184.239	
-0.377197	-0.46814	1.74927	175.17	
-0.2005	-0.249939	1.66077	169.218	
-0.211487	-0.263672	1.56998	165.105	
-0.447998	-0.688477	1.48392	163.153	
-0.385132	-0.592651	1.40717	163.266	
-0.558472	-0.856934	1.3591	170.102	
-0.585327	-0.897827	1.31989	174.384	
-0.689697	-1.05713	1.28433	176.209	
-1.09833	-1.6803	1.26144	176.756	
-1.39893	-2.13867	1.22864	175.254	
-1.55487	-2.3764	1.18408	173.289	
-1.46606	-2.24091	1.12518	172.404	
-0.950317	-1.45447	1.08276	171.534	
-0.409851	-0.609131	1.02783	169.344	
-0.072937	-0.0112915	0.953827	166.27	
0.119629	0.716553	0.887451	161.441	
0.12085	1.32782	0.839539	155.741	
